Brand;Model;Car_Info;User_Desc;Price;Price_Eval;Kilometer;Gear_Type;YearMonth;Fuel_Type;Horsepower;Consumption;CO2_Emission
Volkswagen;Polo;V Style;Finanzierung auch ohne Anzahlung möglich;€ 4.499,-;Sehr guter Preis;148.623 km;Schaltgetriebe;06/2011;Benzin;63 kW (86 PS);5,8 l/100 km;139 g/km
Toyota;Aygo;Cool *8-fach Bereift*KLIMA*CD-Player*;Klimaanlage, Fahrerairbag, Sommerreifen, Zentralverriegelung, Elektr. Fensterheber, Zentralverriegelung mit Funkfernbedienung, Beifahrerairbag, Katalysator;€ 2.790,-;Guter Preis;101.850 km;Schaltgetriebe;09/2010;Benzin;50 kW (68 PS);4,6 l/100 km;109 g/km
Opel;Corsa;1.2 Selection Klima 5türig ISA Mod. 2015;Klimaanlage, E10-geeignet, Pannenkit, Beifahrerairbag, Bluetooth, Seitenairbag, USB, Elektr. Fensterheber;€ 5.590,-;Sehr guter Preis;80.281 km;Schaltgetriebe;10/2014;Benzin;51 kW (69 PS);5,5 l/100 km;146 g/km
Ford;Focus;Lim. Titanium Euro5,Navi,Klimaaut.;Touchscreen, Klimaautomatik, Einparkhilfe Sensoren hinten, Getönte Scheiben, Einparkhilfe Sensoren vorne, Alufelgen, Klimaanlage, Tempomat;€ 4.900,-;Sehr guter Preis;239.661 km;Schaltgetriebe;03/2015;Diesel;85 kW (116 PS);4,2 l/100 km;111 g/km
Dacia;Sandero;II Laureate;Klimaanlage, Bluetooth, Touchscreen, Pannenkit, Bordcomputer, Isofix, Beifahrerairbag, Wegfahrsperre;€ 2.999,-;Sehr guter Preis;172.000 km;Schaltgetriebe;03/2013;Autogas (LPG);55 kW (75 PS);6,1 l/100 km;138 g/km
Opel;Antara;2.0 CDTI Automatik 4x4 / Xenon / TÜV NEU;Alufelgen, Anhängerkupplung, ESP, Sommerreifen, MP3, Einparkhilfe Sensoren vorne, Bordcomputer, Navigationssystem;€ 5.450,-;Sehr guter Preis;175.000 km;Automatik;10/2010;Diesel;110 kW (150 PS);8,6 l/100 km;238 g/km
Citroen;C4 Cactus;BlueHDi TÜV und HU neu bis Zahnriemen neu;Klimaautomatik, Fahrerairbag, Touchscreen, Zentralverriegelung mit Funkfernbedienung, Elektr. Fensterheber, Dachreling, Geschwindigkeits-begrenzungsanlage, Multifunktionslenkrad;€ 6.000,-;Guter Preis;175.250 km;Schaltgetriebe;08/2014;Diesel;73 kW (99 PS);3,1 l/100 km;82 g/km
Mercedes-Benz;A 180;AUTOMATIK LEDER PDC NAVI *TEXT LESEN*;Einparkhilfe Sensoren hinten, Sportpaket, Navigationssystem, Beifahrerairbag, Alufelgen, Ambientebeleuchtung, Einparkhilfe Sensoren vorne, Sitzheizung;€ 9.990,-;Sehr guter Preis;145.006 km;Automatik;07/2014;Benzin;90 kW (122 PS);5,5 l/100 km;130 g/km
Mercedes-Benz;E 250;d T-Modell/NAVI/LEDER/AHK/TEMPOMAT;Lederlenkrad, Freisprecheinrichtung, Anhängerkupplung, Soundsystem, Alufelgen, Sitzheizung, Luftfederung, Radio;€ 10.900,-;Sehr guter Preis;234.138 km;Automatik;04/2013;Diesel;150 kW (204 PS);5,1 l/100 km;135 g/km
Volkswagen;Touran;Life BMT *KAMERA*NAVI*PDC*SHZ*MFL*AHK*;Anhängerkupplung, Sitzheizung, Alufelgen, Start/Stop-Automatik, Navigationssystem, Einparkhilfe Sensoren vorne, 2-Zonen-Klimaautomatik, Geschwindigkeits-begrenzungsanlage;€ 8.999,-;Sehr guter Preis;175.451 km;Schaltgetriebe;02/2013;Diesel;103 kW (140 PS);4,8 l/100 km;125 g/km
Volkswagen;CC;*NAVI* Bi-Xenon*;Finanzierung auch ohne Anzahlung möglich;€ 8.199,-;Guter Preis;126.720 km;Schaltgetriebe;05/2012;Benzin;118 kW (160 PS);7,1 l/100 km;167 g/km
Mitsubishi;Outlander;ClearTec Invite 2.2D 2WD/7 SITZPLÄTZE;Radio, Traktionskontrolle, Bluetooth, Fahrerairbag, Multifunktionslenkrad, Bordcomputer, Freisprecheinrichtung, Start/Stop-Automatik;€ 7.999,-;Fairer Preis;176.000 km;Schaltgetriebe;12/2014;Diesel;110 kW (150 PS);4,8 l/100 km;127 g/km
Fiat;Scudo;12 L2H1 130 Multijet;Bluetooth, Alufelgen, Freisprecheinrichtung, USB, Beifahrerairbag, Zentralverriegelung mit Funkfernbedienung, MP3, Reserverad;€ 3.800,-;Sehr guter Preis;206.252 km;Schaltgetriebe;09/2014;Diesel;94 kW (128 PS);nan;nan
Volkswagen;up!;1.0  move Klima+Sitzheizung;Sitzheizung, Klimaautomatik, Raucherpaket, Pannenkit, Lederlenkrad, MP3, teilb. Rücksitzbank, Multifunktionslenkrad;€ 6.480,-;Sehr guter Preis;129.980 km;Schaltgetriebe;05/2017;Benzin;44 kW (60 PS);nan;nan
Mercedes-Benz;Vito;Kombi 116 CDI lang Klima 9 Sitze;Klimaanlage, Beifahrerairbag, Start/Stop-Automatik, Getönte Scheiben, Schiebetür rechts, Lederlenkrad, Tagfahrlicht, Multifunktionslenkrad;€ 8.990,-;Fairer Preis;330.000 km;Schaltgetriebe;07/2013;Diesel;120 kW (163 PS);7,4 l/100 km;196 g/km
BMW;120;120i Coupe;Sommerreifen, Fahrerairbag, Xenonscheinwerfer, Wegfahrsperre, Klimaanlage, Tagfahrlicht, Zentralverriegelung, Spoiler;€ 5.300,-;Fairer Preis;215.000 km;Schaltgetriebe;01/2010;Benzin;125 kW (170 PS);6,6 l/100 km;153 g/km
Mercedes-Benz;A 180;A 180 CDI / d BlueEfficiency (176.012);Start/Stop-Automatik, Tagfahrlicht, Sportsitze, Einparkhilfe selbstlenkendes System, Xenonscheinwerfer, Elektronische Parkbremse, Navigationssystem, Sitzheizung;€ 8.500,-;Guter Preis;213.000 km;Schaltgetriebe;10/2012;Diesel;80 kW (109 PS);3,8 l/100 km;101 g/km
Skoda;Octavia;Combi 1.6 TDI Ambition PDChi|Tempo|Klima;Fahrerairbag, Klimaanlage, Sitzheizung, ABS, Dachreling, Tempomat, Beifahrerairbag, Sommerreifen;€ 5.400,-;Sehr guter Preis;218.843 km;Automatik;11/2014;Diesel;77 kW (105 PS);nan;nan
Volkswagen;Tiguan;Cup Sport;Sportsitze, Einparkhilfe Sensoren vorne, Isofix, Einparkhilfe selbstlenkendes System, Start/Stop-Automatik, Lederlenkrad, Multifunktionslenkrad, Einparkhilfe Sensoren hinten;€ 7.499,-;Guter Preis;254.300 km;Schaltgetriebe;07/2014;Diesel;81 kW (110 PS);5,3 l/100 km;139 g/km
Kia;Sportage;2.0 CDRi Spirit 4WD Navi Leder P-Dach;Panoramadach, Seitenairbag, Allrad, Navigationssystem, Sitzheizung, Scheinwerferreinigung, Geschwindigkeits-begrenzungsanlage, Beifahrerairbag;€ 11.980,-;Sehr guter Preis;91.152 km;Automatik;08/2012;Diesel;135 kW (184 PS);7,2 l/100 km;189 g/km
Volkswagen;Golf;VI Variant 1.6 TDI Trendl., Klima, Sitzh.;Start/Stop-Automatik, Sommerreifen, Tagfahrlicht, Zentralverriegelung mit Funkfernbedienung, Getönte Scheiben, Armlehne, Sitzheizung, CD;€ 3.440,-;Guter Preis;248.000 km;Schaltgetriebe;02/2011;Diesel;77 kW (105 PS);4,2 l/100 km;109 g/km
Nissan;Juke;Visia Plus 1.6 Klima Radio Allwetter AHK;Über 400 Dacia Neuwagen im Bestand/3 Jahre Garantie;€ 5.490,-;Fairer Preis;185.000 km;Schaltgetriebe;09/2014;Benzin;69 kW (94 PS);6,0 l/100 km;138 g/km
Skoda;Octavia;Combi RS *NAVI*Bi-Xenon*PDC*;Finanzierung auch ohne Anzahlung möglich;€ 10.699,-;Sehr guter Preis;163.143 km;Automatik;09/2014;Diesel;135 kW (184 PS);4,8 l/100 km;126 g/km
Renault;ZOE;Zen 22 KW KLIMA NAVI TEMPOMAT;Inzahlungnahme und Finanzierung oder Leasing möglich; ;nan;nan;nan;nan;nan;nan;nan;nan
Skoda;Fabia;Family *Klima*AHK*8-Fach*12-M Garantie*;Elektr. Fensterheber, Alufelgen, Klimaanlage, Sommerreifen, ESP, Zentralverriegelung, Elektrische Seitenspiegel, Traktionskontrolle;€ 4.999,-;Sehr guter Preis;124.828 km;Schaltgetriebe;11/2012;Benzin;63 kW (86 PS);6,5 l/100 km;155 g/km
Kia;Sportage;1.6 GDI 2WD Attract;Pannenkit, Alufelgen, Wegfahrsperre, Klimaanlage, Servolenkung, Elektrische Seitenspiegel, Armlehne, Tagfahrlicht;€ 9.950,-;Sehr guter Preis;41.000 km;Schaltgetriebe;08/2013;Benzin;99 kW (135 PS);6,8 l/100 km;158 g/km
Renault;Twingo;1.2-1.Hand-Reifen NEU!TÜV 12/2025;Fahrerairbag, Allwetterreifen, Beifahrerairbag, Elektr. Fensterheber, Servolenkung, Zentralverriegelung, USB, Isofix;€ 2.490,-;Fairer Preis;141.315 km;Schaltgetriebe;08/2010;Benzin;43 kW (58 PS);5,5 l/100 km;130 g/km
Jaguar;XF;20d R-Sport Automatik EU6 Leder Navi Xenon Pano PD;Finanzierung ab 5,99%;€ 12.350,-;Fairer Preis;197.000 km;Automatik;10/2015;Diesel;132 kW (179 PS);nan;nan
Nissan;Qashqai;360° Navi SHZ Tempomat Pano;Tempomat, Beifahrerairbag, Panoramadach, Navigationssystem, Fahrerairbag, Sitzheizung, Armlehne, Innenspiegel automatisch abblendend;€ 7.999,-;Guter Preis;221.900 km;Schaltgetriebe;05/2015;Diesel;81 kW (110 PS);3,8 l/100 km;99 g/km
Toyota;Aygo;Cool - Klima 5 Türer;Klimaanlage, Elektr. Fensterheber, Radio, Seitenairbag, Gepäckraumabtrennung, teilb. Rücksitzbank, Fahrerairbag, Zentralverriegelung;€ 4.910,-;Guter Preis;95.117 km;Schaltgetriebe;06/2012;Benzin;50 kW (68 PS);nan;nan
Mercedes-Benz;Sprinter;313 CDI L2H1|AC|AHK|TÜV 8'2026|BREMSneu;Klimaanlage, Armlehne, USB, Elektrische Seitenspiegel, Radio, Anhängerkupplung, Zentralverriegelung;€ 7.800,-;Sehr guter Preis;393.331 km;Schaltgetriebe;06/2015;Diesel;95 kW (129 PS);8,0 l/100 km;212 g/km
Mercedes-Benz;GLK 220;CDI 4Matic 7G-Tronic/PDC/NAVI/AHK;Einparkhilfe selbstlenkendes System, Anhängerkupplung, Sportfahrwerk, Start/Stop-Automatik, CD, Navigationssystem, Traktionskontrolle, Elektrische Sitze;€ 16.890,-;Sehr guter Preis;109.000 km;Automatik;10/2012;Diesel;125 kW (170 PS);nan;nan
BMW;525;d Touring Aut.   Head-Up   Memory   PANO;Sportfahrwerk, Geschwindigkeits-begrenzungsanlage, Bordcomputer, Anhängerkupplung, Head-up display, Bi-Xenon Scheinwerfer, 2-Zonen-Klimaautomatik, Spoiler;€ 14.950,-;nan;93.990 km;Automatik;12/2010;Diesel;150 kW (204 PS);nan;162 g/km
Volkswagen;Passat Variant;2.0 TDI BlueMotion Technology Highline;Start/Stop-Automatik, Gepäckraumabtrennung, Lordosenstütze, Einparkhilfe Sensoren hinten, Bi-Xenon Scheinwerfer, Isofix, Alufelgen, Sitzheizung;€ 6.940,-;Sehr guter Preis;237.712 km;Schaltgetriebe;01/2012;Diesel;103 kW (140 PS);nan;nan
Skoda;Fabia;1.2TSI Combi Cool Edition+KLIMA+PDC+ISOFIX;Alufelgen, Klimaanlage, Pannenkit, teilb. Rücksitzbank, Elektrische Seitenspiegel, Katalysator, MP3, Touchscreen;€ 7.450,-;Sehr guter Preis;126.000 km;Schaltgetriebe;04/2016;Benzin;66 kW (90 PS);nan;nan
Hyundai;i30;1.4;USB, Klimaanlage, Isofix, MP3, Elektr. Fensterheber, Nebelscheinwerfer, ESP, ABS;€ 3.999,-;Guter Preis;149.400 km;Schaltgetriebe;11/2011;Benzin;80 kW (109 PS);6,1 l/100 km;142 g/km
Chevrolet;Captiva;2.4 LT 2WD,  7 Sitzer;Alufelgen, Sitzheizung, Sommerreifen, Radio, Fahrerairbag, Wegfahrsperre, Bluetooth, ESP;€ 5.850,-;Guter Preis;124.000 km;Schaltgetriebe;08/2012;Benzin;123 kW (167 PS);8,9 l/100 km;211 g/km
Mazda;CX-5;Sports-Line AWD *SHZ/NAVI/AHK/PDC*;Allrad, Bluetooth, Sitzheizung, Getönte Scheiben, Isofix, Sommerreifen, Anhängerkupplung, Einparkhilfe Sensoren vorne;€ 8.990,-;Guter Preis;160.000 km;Schaltgetriebe;01/2014;Diesel;129 kW (175 PS);5,2 l/100 km;138 g/km
Citroen;C4 Cactus;Feel;Einparkhilfe Kamera, Bordcomputer, Alufelgen, Regensensor, Sommerreifen, Sitzheizung, Einparkhilfe Sensoren hinten, Bluetooth;€ 5.790,-;Fairer Preis;161.465 km;Schaltgetriebe;11/2015;Benzin;81 kW (110 PS);4,7 l/100 km;107 g/km
Volkswagen;Tiguan;2.0 TDI Freestyle BMT;Standheizung, Alufelgen, Sommerreifen, Anhängerkupplung, Getönte Scheiben, Gepäckraumabtrennung, Einparkhilfe Kamera, Wegfahrsperre;€ 7.990,-;Guter Preis;213.467 km;Schaltgetriebe;06/2011;Diesel;103 kW (140 PS);5,3 l/100 km;139 g/km
Land Rover;Range Rover Evoque;2.2 Td4*Meridian*AHK*Tempomat;Allrad, Elektrische Sitze, Navigationssystem, Anhängerkupplung, Touchscreen, Beifahrerairbag, Allwetterreifen, Bi-Xenon Scheinwerfer;€ 11.950,-;Sehr guter Preis;187.386 km;Schaltgetriebe;04/2015;Diesel;110 kW (150 PS);5,7 l/100 km;151 g/km
Volkswagen;Tiguan;2.0 TDI DPF 4Motion BlueMotion Techn. DSG Sport;Elektrische Sitze, Panoramadach, Sprachsteuerung, Geschwindigkeits-begrenzungsanlage, Einparkhilfe Kamera, Tempomat, Navigationssystem, Bi-Xenon Scheinwerfer;€ 13.999,-;Sehr guter Preis;156.000 km;Automatik;11/2013;Diesel;130 kW (177 PS);5,9 l/100 km;154 g/km
BMW;X3;Baureihe X3 xDrive 20 d M-Sport-Paket Xenon;Einparkhilfe Sensoren vorne, Sportfahrwerk, Sommerreifen, Sportpaket, Navigationssystem, Allrad, Start/Stop-Automatik, Bi-Xenon Scheinwerfer;€ 9.990,-;Guter Preis;235.000 km;Schaltgetriebe;12/2012;Diesel;135 kW (184 PS);5,6 l/100 km;148 g/km
Volkswagen;Touran;Comfortline 1.4 TSI XENON+KLIMAAUTO SHZG;Bi-Xenon Scheinwerfer, Tagfahrlicht, Alufelgen, Touchscreen, Bluetooth, Getönte Scheiben, Sitzheizung, LED-Tagfahrlicht;€ 5.990,-;Fairer Preis;219.870 km;Schaltgetriebe;07/2011;Benzin;103 kW (140 PS);6,8 l/100 km;159 g/km
Renault;Kadjar;Bose Edition + TÜV + NEU +;Einparkhilfe Sensoren vorne, 2-Zonen-Klimaautomatik, Voll-LED Scheinwerfer, Einparkhilfe Kamera, Einparkhilfe selbstlenkendes System, Touchscreen, LED-Scheinwerfer, Isofix;€ 8.970,-;Guter Preis;153.103 km;Schaltgetriebe;11/2016;Benzin;96 kW (131 PS);nan;nan
Ford;Transit Custom;Kombi 300 L1 2.2 TDCi *2093;Beifahrerairbag, Start/Stop-Automatik, Schiebetür rechts, Radio, Notrad, Traktionskontrolle, Katalysator, Elektr. Fensterheber;€ 7.988,-;Sehr guter Preis;210.000 km;Schaltgetriebe;04/2014;Diesel;74 kW (101 PS);nan;nan
Mercedes-Benz;ML 350;CDI BT AMG Leder,Navi,Xenon,SH,SD,360° Kam;Finanzierung ab 6,29% / Sofortankauf & Inzahlungnahme;€ 22.500,-;Sehr guter Preis;144.440 km;Automatik;04/2013;Diesel;190 kW (258 PS);6,8 l/100 km;180 g/km
Nissan;Micra;Micra Visia First 1.2;Klimaanlage, Katalysator, ESP, Fahrerairbag, Wegfahrsperre, USB, CD, Kopfairbag;€ 5.990,-;Sehr guter Preis;57.700 km;Schaltgetriebe;04/2014;Benzin;59 kW (80 PS);nan;nan
Citroen;C4;VTi 120 Tendance;Bluetooth, Fahrerairbag, Alufelgen, Freisprecheinrichtung, USB, Geschwindigkeits-begrenzungsanlage, Servolenkung, Kurvenlicht;€ 4.990,-;Fairer Preis;122.000 km;Schaltgetriebe;03/2011;Benzin;88 kW (120 PS);6,2 l/100 km;143 g/km
Mercedes-Benz;B 180;CDI, 1.Hand, Navi, Klimaautom., Sitzheiz.;Berganfahrassistent, Lederlenkrad, Einparkhilfe Sensoren vorne, Getönte Scheiben, Einparkhilfe selbstlenkendes System, 2-Zonen-Klimaautomatik, Start/Stop-Automatik, Sommerreifen;€ 8.950,-;Sehr guter Preis;158.500 km;Schaltgetriebe;02/2015;Diesel;80 kW (109 PS);4,4 l/100 km;117 g/km
Volkswagen;T5 Transporter;T5 2.0 TDI Transporter 8 Sitzer HU neu;Isofix, Klimaanlage, Radio, Beifahrerairbag, Elektrische Seitenspiegel, Schiebetür rechts, Start/Stop-Automatik, Anhängerkupplung;€ 14.950,-;Erhöhter Preis;198.057 km;Schaltgetriebe;09/2011;Diesel;75 kW (102 PS);7,7 l/100 km;193 g/km
Audi;A6;Avant 3.0 TDI quattro ACC AHK LED STANDHZ.;Einparkhilfe Kamera, Sportsitze, LED-Scheinwerfer, Freisprecheinrichtung, Sportfahrwerk, Elektrische Seitenspiegel, Standheizung, Anhängerkupplung;€ 17.440,-;Guter Preis;198.000 km;Automatik;12/2015;Diesel;200 kW (272 PS);nan;nan
Mercedes-Benz;C 200;D w205 AVANTGARDE *Co²-106g *LEDER*NAVI*2.HAND;Sportsitze, Sportpaket, Alufelgen, Getönte Scheiben, Elektrische Sitze, Einparkhilfe Sensoren vorne, Lederlenkrad, Einparkhilfe Sensoren hinten;€ 15.000,-;Guter Preis;153.988 km;Schaltgetriebe;07/2015;Diesel;100 kW (136 PS);3,9 l/100 km;106 g/km
Volvo;XC70;D5 5 Zyl Momen AWD LEDER+MEMO+NAV+AHK+XEN+;Allrad, Sommerreifen, Fahrerairbag, Sprachsteuerung, Elektrische Sitze, Multifunktionslenkrad, Sitzheizung, Beifahrerairbag;€ 10.550,-;Sehr guter Preis;261.858 km;Schaltgetriebe;09/2012;Diesel;158 kW (215 PS);5,6 l/100 km;148 g/km
Mercedes-Benz;C 200;D w205 AVANTGARDE *Co²-106g *LEDER*NAVI*2.HAND;Sportsitze, Sportpaket, Alufelgen, Getönte Scheiben, Elektrische Sitze, Einparkhilfe Sensoren vorne, Lederlenkrad, Einparkhilfe Sensoren hinten;€ 15.000,-;Guter Preis;153.988 km;Schaltgetriebe;07/2015;Diesel;100 kW (136 PS);3,9 l/100 km;106 g/km
BMW;X1;20 d sDrive /SHZ /NAVI / TEMPOMAT /AUTOMATIK;Navigationssystem, Sportsitze, Klimaanlage, Einparkhilfe Sensoren hinten, Freisprecheinrichtung, Multifunktionslenkrad, Wegfahrsperre, Einparkhilfe Sensoren vorne;€ 9.990,-;Guter Preis;159.478 km;Automatik;05/2011;Diesel;130 kW (177 PS);5,9 l/100 km;155 g/km
Fiat;Panda;1.2 Young Klimaanlage Radio Allwetterreifen Euro 6;Klimaanlage, Radio, Elektr. Fensterheber, Kopfairbag, Bluetooth, Allwetterreifen, Isofix, E10-geeignet;€ 5.890,-;Guter Preis;92.400 km;Schaltgetriebe;11/2014;Benzin;51 kW (69 PS);nan;nan
Mercedes-Benz;C 220;C 220 T CDI BlueEfficiency (204.202);Berganfahrassistent, Elektrische Seitenspiegel, Navigationssystem, Start/Stop-Automatik, Alufelgen, Regensensor, Tagfahrlicht, Sitzheizung;€ 4.700,-;Guter Preis;300.000 km;Schaltgetriebe;04/2011;Diesel;125 kW (170 PS);6,1 l/100 km;161 g/km
Volkswagen;Golf;VII Lim. Highline *ACC*BI-XENON*NAVI*PDC*;Bi-Xenon Scheinwerfer, Start/Stop-Automatik, Sportsitze, Einparkhilfe Sensoren hinten, Alufelgen, 2-Zonen-Klimaautomatik, Einparkhilfe Sensoren vorne, Fahrerairbag;€ 9.899,-;Fairer Preis;180.244 km;Automatik;10/2013;Benzin;103 kW (140 PS);4,7 l/100 km;110 g/km
Hyundai;iX35;1.6 Comfort 2WD  AHK/Klima/SHZ;Anhängerkupplung, Sitzheizung, Dachreling, Armlehne, Traktionskontrolle, Wegfahrsperre, Multifunktionslenkrad, Bluetooth;€ 9.910,-;Sehr guter Preis;69.197 km;Schaltgetriebe;04/2014;Benzin;99 kW (135 PS);nan;nan
Renault;Megane;Play/ALLWETTER/AHK/SEHR SAUBER;Touchscreen, Anhängerkupplung, Beifahrerairbag, ABS, Armlehne, Reifendruckkontrollsystem, Elektrische Seitenspiegel, Tempomat;€ 7.000,-;Sehr guter Preis;104.000 km;Schaltgetriebe;04/2018;Benzin;74 kW (101 PS);5,4 l/100 km;120 g/km
Mercedes-Benz;Viano;2.2 CDI Trend, 7-Sitzer, Standh., Comand;Standheizung, Anhängerkupplung, Geschwindigkeits-begrenzungsanlage, Navigationssystem, Sommerreifen, Klimaanlage, Radio, Alufelgen;€ 14.950,-;Fairer Preis;219.500 km;Schaltgetriebe;06/2010;Diesel;110 kW (150 PS);8,7 l/100 km;231 g/km
