Brand;Model;Car_Info;User_Desc;Price;Price_Eval;Kilometer;Gear_Type;YearMonth;Fuel_Type;Horsepower;Consumption;CO2_Emission;Marketplace
Opel;Meriva;B Temp. SHZ PDC NP: 26.000€;Beifahrerairbag, Alufelgen, Einparkhilfe Sensoren vorne, Seitenairbag, Fahrerairbag, Klimaanlage, Beheizbares Lenkrad, Armlehne;€ 4.190;Sehr guter Preis;157.000 km;Schaltgetriebe;01/2012;Benzin;103 kW (140 PS);6,7 l/100 km;159 g/km;Autoscout24.de
Volvo;V70;Kombi Linje Classic;Elektrische Heckklappe, Alufelgen, Sportfahrwerk, Schiebedach, LED-Tagfahrlicht, Volldigitales Kombiinstrument, Elektrische Sitze, Abstandswarner;€ 8.900;Sehr guter Preis;195.697 km;Schaltgetriebe;05/2016;Diesel;110 kW (150 PS);4,1 l/100 km;113 g/km;Autoscout24.de
SEAT;Altea XL;Style Ecomotive;Alufelgen, Fahrerairbag, Allwetterreifen, USB, Start/Stop-Automatik, ABS, Servolenkung, Elektrische Seitenspiegel;€ 4.490;Sehr guter Preis;153.000 km;Schaltgetriebe;12/2012;Diesel;77 kW (105 PS);4,5 l/100 km;119 g/km;Autoscout24.de
Opel;Meriva;B 1.4 Design Edition;Fahrerairbag, Armlehne, ESP, Beifahrerairbag, Einparkhilfe Sensoren hinten, Elektr. Fensterheber, Klimaanlage, Radio;€ 3.990;Sehr guter Preis;103.500 km;Schaltgetriebe;03/2011;Benzin;74 kW (101 PS);6,1 l/100 km;145 g/km;Autoscout24.de
MINI;Cooper D Clubman;Cooper D;Start/Stop-Automatik, Sportpaket, Navigationssystem, Anhängerkupplung, Alufelgen, Lichtsensor, Bluetooth, Sprachsteuerung;€ 4.900;Sehr guter Preis;234.172 km;Schaltgetriebe;11/2012;Diesel;82 kW (111 PS);3,8 l/100 km;101 g/km;Autoscout24.de
GMC;Sierra;GMC Sierra 4x4 V8 Leder Navi Autom Schiebed.;Navigationssystem, Allrad, Sitzheizung, Traktionskontrolle, Freisprecheinrichtung, Soundsystem, Sommerreifen, Alufelgen;€ 22.999;nan;66.200 km;Automatik;03/2010;Autogas (LPG);298 kW (405 PS);15,0 l/100 km;nan;Autoscout24.de
Ford;Fiesta;Sport;Isofix, Sportfahrwerk, Freisprecheinrichtung, Beheizbare Frontscheibe, Getönte Scheiben, Fahrerairbag, Sitzheizung, Sportpaket;€ 5.999;Sehr guter Preis;142.500 km;Schaltgetriebe;03/2016;Benzin;92 kW (125 PS);4,3 l/100 km;99 g/km;Autoscout24.de
Volkswagen;Sharan;1.4 TSI Trendline Ahk/Klimatr./PDC/Sitzh.;Fahrerairbag, Start/Stop-Automatik, MP3, Schiebetür, Traktionskontrolle, Einparkhilfe Sensoren hinten, Anhängerkupplung, Einparkhilfe Sensoren vorne;€ 7.980;Guter Preis;132.638 km;Schaltgetriebe;09/2010;Benzin;110 kW (150 PS);nan;nan;Autoscout24.de
Volkswagen;Touran;Cross 1.6TDI*Aut.*BiXenon*Temp*Pdc*Ahk*;Tagfahrlicht, Radio, Standheizung, Bi-Xenon Scheinwerfer, Einparkhilfe Kamera, Alufelgen, Touchscreen, LED-Tagfahrlicht;€ 8.490;Sehr guter Preis;199.989 km;Automatik;11/2013;Diesel;77 kW (105 PS);5,4 l/100 km;143 g/km;Autoscout24.de
BMW;318;D F30 SPORT LINE*2.HAND*GLASDACH*XENON*NAVI(Prof.);Sportpaket, Sportsitze, Bi-Xenon Scheinwerfer, Start/Stop-Automatik, Schiebedach, Navigationssystem, Einparkhilfe Sensoren vorne, Alufelgen;€ 9.900;Fairer Preis;225.018 km;Schaltgetriebe;05/2012;Diesel;105 kW (143 PS);4,5 l/100 km;118 g/km;Autoscout24.de
Volkswagen;T5 Multivan;PanAmerika *AHK*4Motion*Navi*PDC*;Allrad, Navigationssystem, Reifendruckkontrollsystem, Anhängerkupplung, Klimaanlage, Einparkhilfe Kamera, Alufelgen, Einparkhilfe Sensoren vorne;€ 15.999;Sehr guter Preis;222.258 km;Schaltgetriebe;12/2011;Diesel;132 kW (179 PS);8,8 l/100 km;233 g/km;Autoscout24.de
Nissan;Micra;Visia;Klimaanlage, Radio, ABS, Isofix, Zentralverriegelung, Servolenkung, CD, Elektr. Fensterheber;€ 3.850;Guter Preis;61.000 km;Schaltgetriebe;06/2010;Benzin;48 kW (65 PS);5,9 l/100 km;140 g/km;Autoscout24.de
Ford;Fiesta;1.0 Sync Edition Klima 32tkm! 1.Hd 5türig;Klimaanlage, Multifunktionslenkrad, Elektrische Seitenspiegel, E10-geeignet, Alufelgen, LED-Tagfahrlicht, Bluetooth, Isofix;€ 6.890;Sehr guter Preis;32.483 km;Schaltgetriebe;07/2013;Benzin;48 kW (65 PS);4,6 l/100 km;109 g/km;Autoscout24.de
Mitsubishi;ASX;1.8 DI-D+ Instyle NaviTouch RFKam BT USB All;Navigationssystem, Xenonscheinwerfer, Sitzheizung, Einparkhilfe Kamera, Isofix, Soundsystem, Panoramadach, ABS;€ 7.480;Fairer Preis;190.000 km;Schaltgetriebe;12/2013;Diesel;110 kW (150 PS);nan;141 g/km;Autoscout24.de
Ford;Mondeo;Turnier Titanium*Klima*Allwetter*;Alufelgen, Sportfahrwerk, Sportsitze, Elektrische Sitze, Klimaanlage, Schlüssellose Zentralverriegelung, Klimaautomatik, Isofix;€ 4.980;Fairer Preis;197.553 km;Schaltgetriebe;05/2013;Benzin;149 kW (203 PS);7,6 l/100 km;180 g/km;Autoscout24.de
Citroen;C4 Picasso;Seduction LED PDC AHK Bluetooth;Anhängerkupplung, Fahrerairbag, Touchscreen, Elektr. Fensterheber, Klimaanlage, Beifahrerairbag, Klimaautomatik, Multifunktionslenkrad;€ 4.990;Sehr guter Preis;165.000 km;Schaltgetriebe;11/2013;Diesel;85 kW (116 PS);4,0 l/100 km;106 g/km;Autoscout24.de
BMW;318;d Lim. M Sportpaket Euro5 Navi,Xenon;Sportfahrwerk, Sportsitze, Sportpaket, Alufelgen, Bi-Xenon Scheinwerfer, Armlehne, Klimaanlage, Navigationssystem;€ 11.800;Guter Preis;164.569 km;Schaltgetriebe;03/2013;Diesel;105 kW (143 PS);4,5 l/100 km;119 g/km;Autoscout24.de
Mercedes-Benz;E 220;Coupe CDI BlueEfficiency AUTOMA. PANO NAVI;Berganfahrassistent, Navigationssystem, Sportfahrwerk, Elektrische Sitze, Panoramadach, Bi-Xenon Scheinwerfer, Alufelgen, Fahrerairbag;€ 13.900;Sehr guter Preis;122.571 km;Automatik;05/2011;Diesel;125 kW (170 PS);5,4 l/100 km;143 g/km;Autoscout24.de
Skoda;Fabia;Combi 1.6 TDI Cool Edition*Klima*AHK;Klimaanlage, Fahrerairbag, Allwetterreifen, Gepäckraumabtrennung, Isofix, Elektr. Fensterheber, Bordcomputer, Radio;€ 2.950;Fairer Preis;205.555 km;Schaltgetriebe;08/2011;Diesel;66 kW (90 PS);4,2 l/100 km;111 g/km;Autoscout24.de
Audi;A6;Lim. 2.8 FSI Sitzh. Navi. PDC. Automatik;Seit 1963 Ihr KFZ-Meisterbetrieb in Mainz Bretzenheim;€ 8.990;Sehr guter Preis;150.000 km;Automatik;06/2010;Benzin;162 kW (220 PS);8,4 l/100 km;196 g/km;Autoscout24.de
Skoda;Fabia;Cool Edition;Fahrerairbag, Klimaanlage, Alufelgen, Radio, Sommerreifen, Beifahrerairbag, Isofix;€ 7.390;Sehr guter Preis;59.939 km;Schaltgetriebe;08/2014;Benzin;63 kW (86 PS);5,2 l/100 km;123 g/km;Autoscout24.de
Renault;Scenic;III 1.5 DCi BOSE Edition Automatik Navi;Über 400 Dacia Neuwagen im Bestand/3 Jahre Garantie;€ 4.490;Guter Preis;238.600 km;Automatik;10/2013;Diesel;81 kW (110 PS);5,0 l/100 km;130 g/km;Autoscout24.de
BMW;X3;xDrive20d xLine   Standklima   Harman-Kardon;Spoiler, Head-up display, Navigationssystem, 2-Zonen-Klimaautomatik, Isofix, Sportsitze, Sommerreifen, Ambientebeleuchtung;€ 12.950;Sehr guter Preis;195.854 km;Schaltgetriebe;09/2014;Diesel;140 kW (190 PS);nan;136 g/km;Autoscout24.de
Nissan;X-Trail;SE 4X4 AHK Navi Kamera;Auto kauft man mit Vertrauen u Garantie;€ 6.740;Guter Preis;229.441 km;Schaltgetriebe;05/2011;Diesel;110 kW (150 PS);nan;nan;Autoscout24.de
Ford;Mondeo;Titanium Automatik Memory Teilleder Navi;Leder Alcantara;€ 8.990;Sehr guter Preis;199.887 km;Automatik;12/2016;Diesel;132 kW (179 PS);4,9 l/100 km;nan;Autoscout24.de
Ford;EcoSport;Titanium KLIMA*PDC*BT*sauberes Fahrzeug;Fahrerairbag, Traktionskontrolle, Getönte Scheiben, Berganfahrassistent, Zentralverriegelung, Bluetooth, Tempomat, Lordosenstütze;€ 7.990;Sehr guter Preis;101.295 km;Schaltgetriebe;10/2014;Diesel;66 kW (90 PS);4,6 l/100 km;120 g/km;Autoscout24.de
Toyota;Avensis;Kombi 1.8 1.Hand **126TKM**Navi Kamera;Dachreling, Pannenkit, Elektronische Parkbremse, Sitzheizung, Klimaanlage, Multifunktionslenkrad, Lordosenstütze, Soundsystem;€ 7.450;nan;126.465 km;Schaltgetriebe;01/2012;Benzin;108 kW (147 PS);6,6 l/100 km;155 g/km;Autoscout24.de
Hyundai;i20;Classic,Klima, 8-fach bereift, Seh sauber;E10-geeignet, Fahrerairbag, Klimaanlage, Elektrische Seitenspiegel, Traktionskontrolle, Klimaautomatik, CD, Bluetooth;€ 6.499;Guter Preis;65.858 km;Schaltgetriebe;09/2014;Benzin;63 kW (86 PS);4,9 l/100 km;114 g/km;Autoscout24.de
BMW;318;318d *Navi*Xenon*Standheizung*;Bluetooth, Alufelgen, Xenonscheinwerfer, ESP, Armlehne, Sportsitze, Navigationssystem, Isofix;€ 3.499;Fairer Preis;276.400 km;Schaltgetriebe;09/2010;Diesel;105 kW (143 PS);4,8 l/100 km;127 g/km;Autoscout24.de
Peugeot;508;Pan Dach Nav 8 fach Kopftdichtung kaputt;Alufelgen, Tagfahrlicht, Multifunktionslenkrad, Panoramadach, Tempomat, Radio, Servolenkung, Lichtsensor;€ 4.500;Sehr guter Preis;122.000 km;Schaltgetriebe;06/2011;Benzin;115 kW (156 PS);6,5 l/100 km;150 g/km;Autoscout24.de
Volkswagen;Golf Variant;1.4 TSI Highline+Panorama+STHZ+AHK+Bi-Xenon+;Alufelgen, Navigationssystem, Bi-Xenon Scheinwerfer, Sommerreifen, Kurvenlicht, Reifendruckkontrollsystem, Bluetooth, Touchscreen;€ 4.999;Guter Preis;231.000 km;Schaltgetriebe;11/2012;Benzin;118 kW (160 PS);6,4 l/100 km;149 g/km;Autoscout24.de
Audi;A3;Cabriolet S-Line *KLIMA*TÜV Neu*KUNDEN AUFTRAG;Sommerreifen, Sitzheizung, Sportpaket, Soundsystem, Alufelgen, Winterpaket, Scheinwerferreinigung, Sportfahrwerk;€ 8.900;Guter Preis;112.800 km;Schaltgetriebe;04/2010;Benzin;118 kW (160 PS);6,8 l/100 km;161 g/km;Autoscout24.de
BMW;220;Coupé M Sport LED NaviBusiness FernlichtAss;Ihr BMW Servicepartner für die Region Hannover;€ 13.999;Guter Preis;194.000 km;Schaltgetriebe;08/2017;Diesel;140 kW (190 PS);4,3 l/100 km;nan;Autoscout24.de
SEAT;Exeo;2,0 ST Sport*KLIMA*AUTOMATIK*HU 01-2026*;Bluetooth, Elektrische Seitenspiegel, Tempomat, Alufelgen, Freisprecheinrichtung, Sitzheizung, Klimaanlage, Seitenairbag;€ 3.870;Guter Preis;193.800 km;Automatik;02/2010;Benzin;147 kW (200 PS);7,7 l/100 km;179 g/km;Autoscout24.de
Volkswagen;Polo;1.6 TDI BMT Match, Klima, Sitzheiz.., AHK;Start/Stop-Automatik, Allwetterreifen, Alufelgen, Lederlenkrad, Klimaautomatik, Einparkhilfe Sensoren hinten, Sportsitze, Anhängerkupplung;€ 5.450;Fairer Preis;205.000 km;Schaltgetriebe;06/2012;Diesel;66 kW (90 PS);3,7 l/100 km;96 g/km;Autoscout24.de
Mercedes-Benz;Citan;Kasten 108 CDI lang;Armlehne, Schiebetür rechts, Radio, Tagfahrlicht, Bluetooth, Elektrische Seitenspiegel, Fahrerairbag, Zentralverriegelung;€ 2.990;Sehr guter Preis;271.000 km;Schaltgetriebe;06/2014;Diesel;55 kW (75 PS);4,7 l/100 km;125 g/km;Autoscout24.de
Mazda;CX-30;"Prime-Line KLIMA+NAVI+ALARM+KAMERA+LED+16""+HUD ...";Sicherer EU-Neuwagenkauf zum Bestpreis seit 1999!;€ 22.890;nan;0 km;Schaltgetriebe;nan;Benzin;103 kW (140 PS);nan;135 g/km;Autoscout24.de
Audi;A6;Lim. 2.8 FSI V6*Automatik Navi*45 Tkm*1Hand*;Sommerreifen, Start/Stop-Automatik, Multifunktionslenkrad, Navigationssystem, Einparkhilfe Sensoren vorne, Einparkhilfe selbstlenkendes System, Seitenairbag, CD;€ 14.500;Sehr guter Preis;45.382 km;Automatik;08/2011;Benzin;150 kW (204 PS);7,7 l/100 km;182 g/km;Autoscout24.de
Opel;Zafira Tourer;C 1.6 Innovation  CNG ERDGAS 7SITZE;Bluetooth, Alufelgen, Freisprecheinrichtung, Armlehne, Reifendruckkontrollsystem, Notrufsystem, Zentralverriegelung mit Funkfernbedienung, Tagfahrlicht;€ 7.500;Sehr guter Preis;134.272 km;Schaltgetriebe;09/2015;Erdgas (CNG);110 kW (150 PS);nan;nan;Autoscout24.de
Jaguar;XF;3.0 V6 Diesel Luxury D 2.Hd*Leder*SHZ*Temp.;Elektrische Sitze, Bordcomputer, Elektr. Fensterheber, Lederlenkrad, MP3, Fahrerairbag, 2-Zonen-Klimaautomatik, Klimaanlage;€ 4.990;nan;320.000 km;Automatik;08/2010;Diesel;155 kW (211 PS);nan;nan;Autoscout24.de
Volkswagen;Touran;Life BMT/Automatik/Klima/Navi/Shz/Ahk/;Seitenairbag, Alufelgen, Anhängerkupplung, Sitzheizung, Müdigkeitswarnsystem, Isofix, Navigationssystem, Tagfahrlicht;€ 9.990;Sehr guter Preis;190.202 km;Automatik;07/2013;Diesel;103 kW (140 PS);5,2 l/100 km;135 g/km;Autoscout24.de
BMW;316;"d Navi*Klimaaut.*2xSHZ*Bluetooth*18""Zoll";Bluetooth, 2-Zonen-Klimaautomatik, Bordcomputer, Start/Stop-Automatik, USB, Navigationssystem, Sitzheizung, Traktionskontrolle;€ 9.590;Fairer Preis;196.000 km;Schaltgetriebe;04/2013;Diesel;85 kW (116 PS);4,5 l/100 km;nan;Autoscout24.de
Toyota;;Aygo AYGO Cool  nur 48Tkm;Klimaanlage, Zentralverriegelung, Elektr. Fensterheber, Bluetooth, Beifahrerairbag, Fahrerairbag, Isofix, E10-geeignet;€ 4.990;Sehr guter Preis;48.538 km;Schaltgetriebe;10/2013;Benzin;50 kW (68 PS);4,4 l/100 km;104 g/km;Autoscout24.de
Volkswagen;Caddy;PKW Maxi Trendline BMT 7 - Sitzer;Alufelgen, Multifunktionslenkrad, Sportpaket, Getönte Scheiben, Sportfahrwerk, Start/Stop-Automatik, Sitzheizung, Isofix;€ 10.500;Erhöhter Preis;238.944 km;Schaltgetriebe;12/2015;Diesel;75 kW (102 PS);4,7 l/100 km;122 g/km;Autoscout24.de
Mercedes-Benz;ML 350;BlueTEC 4M 7G AMG STYLING  MEMORY   TOTW.;Sportpaket, 3-Zonen-Klimaautomatik, Einparkhilfe Kamera, Sportfahrwerk, Traktionskontrolle, Anhängerkupplung, Voll-LED Scheinwerfer, Allrad;€ 19.950;Sehr guter Preis;193.733 km;Automatik;11/2012;Diesel;190 kW (258 PS);6,8 l/100 km;nan;Autoscout24.de
Kia;;CEED SW 1.6 EDITION7  EMOTION OHNE KLIMA;Zentralverriegelung, Sitzheizung, Alufelgen, Isofix, Multifunktionslenkrad, Seitenairbag, Dachreling, Radio;€ 7.960;Sehr guter Preis;94.600 km;Schaltgetriebe;03/2014;Benzin;99 kW (135 PS);nan;nan;Autoscout24.de
Porsche;Panamera;Turbo;Beifahrerairbag, Allrad, Touchscreen, Alufelgen, Einparkhilfe Sensoren hinten, Bluetooth, LED-Tagfahrlicht, Bi-Xenon Scheinwerfer;€ 22.980;Sehr guter Preis;204.750 km;Automatik;07/2010;Benzin;368 kW (500 PS);12,9 l/100 km;303 g/km;Autoscout24.de
Skoda;Rapid/Spaceback;Ambition*DAB Radio*Klimaautomatik*Navi*;Einparkhilfe Kamera, Elektrische Seitenspiegel, Multifunktionslenkrad, Klimaautomatik, Touchscreen, Sommerreifen, Bluetooth, Alufelgen;€ 7.190;Sehr guter Preis;93.773 km;Schaltgetriebe;05/2013;Benzin;63 kW (86 PS);5,1 l/100 km;121 g/km;Autoscout24.de
BMW;320;d xDrive Coupe Xenon. PDC. Navi.;Seit 1963 Ihr KFZ-Meisterbetrieb in Mainz Bretzenheim;€ 12.990;Sehr guter Preis;136.250 km;Automatik;03/2011;Diesel;135 kW (184 PS);5,7 l/100 km;150 g/km;Autoscout24.de
Opel;Meriva;B Innovation*Tempomat*Sitzheizung*;Einparkhilfe Sensoren hinten, Radio, Beifahrerairbag, Sitzheizung, Tempomat, Alufelgen, Bluetooth, Getönte Scheiben;€ 7.290;Guter Preis;128.969 km;Schaltgetriebe;09/2016;Diesel;100 kW (136 PS);4,4 l/100 km;116 g/km;Autoscout24.de
Ford;EcoSport;Trend;Sitzheizung, Einparkhilfe Sensoren vorne, Traktionskontrolle, USB, Einparkhilfe Sensoren hinten, Alufelgen, Nebelscheinwerfer, Freisprecheinrichtung;€ 7.390;Guter Preis;118.281 km;Schaltgetriebe;07/2015;Benzin;92 kW (125 PS);5,4 l/100 km;125 g/km;Autoscout24.de
Alfa Romeo;Giulia;2.2 JTDM Automatik Klima Navi Temp Kamera;Finanzierung OHNE Anzahlung möglich!;€ 13.890;Sehr guter Preis;174.400 km;Automatik;11/2016;Diesel;132 kW (179 PS);3,8 l/100 km;99 g/km;Autoscout24.de
Audi;A5;2.0 TFSI Sportback;Alufelgen, Fahrerairbag, Tagfahrlicht, Reifendruckkontrollsystem, Getönte Scheiben, Sommerreifen, Lederlenkrad, Start/Stop-Automatik;€ 13.300;nan;136.000 km;Schaltgetriebe;11/2010;Benzin;132 kW (179 PS);6,5 l/100 km;152 g/km;Autoscout24.de
Opel;Insignia;A ST 2.0D INNOV. NAVI/LED/KAMERA/SHZ;Einparkhilfe Kamera, Getönte Scheiben, Android Auto, Sprachsteuerung, Einparkhilfe Sensoren vorne, Multifunktionslenkrad, Sommerreifen, Sitzheizung;€ 6.700;nan;140.990 km;Automatik;05/2016;Diesel;125 kW (170 PS);5,5 l/100 km;145 g/km;Autoscout24.de
Volkswagen;Caddy;Kasten EcoProfi *2.HAND SCHECKHEFT-AHK*;Anhängerkupplung, Traktionskontrolle, Zentralverriegelung, Fahrerairbag, Stahlfelgen, Elektr. Fensterheber, Gepäckraumabtrennung, Allwetterreifen;€ 6.880;Sehr guter Preis;139.785 km;Schaltgetriebe;11/2012;Diesel;55 kW (75 PS);5,6 l/100 km;147 g/km;Autoscout24.de
Audi;Q7;3.0 TDI clean diesel quattro Gewerbe/Export!;Über 1000 Fahrzeuge auf Lager und sofort verfügbar !!!;€ 16.000;nan;189.600 km;Automatik;06/2013;Diesel;180 kW (245 PS);7,4 l/100 km;196 g/km;Autoscout24.de
Mazda;CX-5;2,2 Skyactiv-D Center-Line 2WD;Klimaanlage, Alufelgen, Elektrische Seitenspiegel, Sitzheizung, Ambientebeleuchtung, Einparkhilfe Sensoren vorne, Bluetooth, Touchscreen;€ 8.449;Guter Preis;175.000 km;Schaltgetriebe;04/2014;Diesel;110 kW (150 PS);4,6 l/100 km;122 g/km;Autoscout24.de
BMW;320;d xDrive  Automatik M-Sport Xenon Schiebedach;Seit 1963 Ihr KFZ-Meisterbetrieb in Mainz Bretzenheim;€ 12.990;Hoher Preis;188.000 km;Automatik;11/2010;Diesel;135 kW (184 PS);5,7 l/100 km;150 g/km;Autoscout24.de
BMW;316;i 1.Hand*Klima*Navi*Scheckheft*Tempomat*;Alufelgen, Navigationssystem, Einparkhilfe Sensoren hinten, Sportpaket, USB, Skisack, Armlehne, Einparkhilfe Sensoren vorne;€ 7.950;nan;156.961 km;Schaltgetriebe;03/2010;Benzin;90 kW (122 PS);nan;nan;Autoscout24.de
Chevrolet;Orlando;LT**7 Sitzer**1.Hd*Aut AHK Parrot Blueto;Klimaautomatik, Traktionskontrolle, Alufelgen, Katalysator, Zentralverriegelung mit Funkfernbedienung, Anhängerkupplung, Freisprecheinrichtung, USB;€ 3.990;Guter Preis;369.014 km;Automatik;02/2012;Diesel;120 kW (163 PS);5,3 l/100 km;186 g/km;Autoscout24.de
Volkswagen;Golf Variant;Golf VII Variant 2.0 TDI BMT *PANO/AHK/STANDHEIZ*;Standheizung, Alufelgen, Sitzheizung, Schiebedach, Multifunktionslenkrad, Navigationssystem, Abstandstempomat, Einparkhilfe Sensoren vorne;€ 7.900;Sehr guter Preis;227.890 km;Schaltgetriebe;03/2015;Diesel;110 kW (150 PS);4,2 l/100 km;108 g/km;Autoscout24.de
Fiat;Doblo;1.6 SX Kombi Lounge Klimaauto Allwetter;Über 400 Dacia Neuwagen im Bestand/3 Jahre Garantie;€ 4.490;Guter Preis;252.700 km;Schaltgetriebe;09/2014;Diesel;77 kW (105 PS);5,2 l/100 km;138 g/km;Autoscout24.de
Audi;A3;Sportback 2.0 TDI Attraction S-Tronic;Finanzierung ab 5,99%;€ 5.950;Erhöhter Preis;337.000 km;Automatik;06/2010;Diesel;125 kW (170 PS);nan;nan;Autoscout24.de
Audi;A1;1.2TFSI Attraction *Klima*Sitzheizung;Wegfahrsperre, Sportpaket, Alufelgen, Sommerreifen, Elektrische Seitenspiegel, Multifunktionslenkrad, Zentralverriegelung, Pannenkit;€ 6.900;Guter Preis;149.290 km;Schaltgetriebe;02/2011;Benzin;63 kW (86 PS);5,1 l/100 km;121 g/km;Autoscout24.de
Audi;A6;Avant 3.0 TDI quattro S-line GEWERBE EXPORT;Lordosenstütze, Sportfahrwerk, Totwinkel-Assistent, Sportpaket, Isofix, Einparkhilfe Kamera, Sportsitze, Bluetooth;€ 10.950;Fairer Preis;287.150 km;Automatik;04/2013;Diesel;180 kW (245 PS);5,9 l/100 km;nan;Autoscout24.de
