Brand,Model,Kilometers,BuildYear,Transmission,Fuel,Power,l/Km,Emission,CurrentPrice
Mini,Cooper S,89.799 km,07/2017,Manuell,Benzin,141 kW (192 PS),8l/100km,185g CO2/km (komb)*,16.949
Volkswagen,Golf,40.552 km,11/2017,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,21.049
Volkswagen,Passat Variant,114.000 km,10/2017,Automatik,Diesel,176 kW (239 PS),7l/100km,186g CO2/km (komb)*,24.349
Renault,ZOE,27.500 km,06/2017,Automatik,Elektro,68 kW (92 PS),,0g CO2/km (WLTP,12.549
Renault,ZOE,39.177 km,09/2017,Automatik,Elektro,68 kW (92 PS),,0g CO2/km (WLTP,9.449
Hyundai,i10,83.264 km,09/2017,Manuell,Benzin,49 kW (67 PS),8l/100km,185g CO2/km (komb)*,8.949
Renault,Master,147.800 km,09/2017,Manuell,Diesel,96 kW (131 PS),7l/100km,186g CO2/km (komb)*,23.849
Renault,Trafic,135.300 km,09/2017,Manuell,Diesel,89 kW (121 PS),7l/100km,186g CO2/km (komb)*,21.349
Renault,Master,123.000 km,03/2017,Manuell,Diesel,92 kW (125 PS),0l/100km,0g CO2/km (WLTP,28.949
Ford,S-Max,139.268 km,09/2017,Manuell,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,17.589
Kia,Picanto,62.797 km,09/2017,Manuell,Benzin,62 kW (84 PS),8l/100km,185g CO2/km (komb)*,15.489
Opel,Corsa,63.127 km,05/2017,Automatik,Benzin,66 kW (90 PS),9l/100km,137g CO2/km (komb)*,14.549
Volkswagen,Golf,125.800 km,12/2017,Manuell,Benzin,81 kW (110 PS),9l/100km,112g CO2/km (komb)*,12.749
Mercedes-Benz,C 180,60.779 km,05/2017,Automatik,Benzin,115 kW (156 PS),3l/100km,144g CO2/km (komb)*,28.649
Suzuki,Baleno,92.065 km,10/2017,Automatik,Benzin,82 kW (112 PS),7l/100km,0g CO2/km (WLTP,13.349
Toyota,C-HR,11.381 km,10/2017,Automatik,Hybrid (Elektro / Benzin),90 kW (122 PS),8l/100km,86g CO2/km (komb)*,21.149
Jeep,Renegade,96.313 km,08/2017,Manuell,Diesel,103 kW (140 PS),1l/100km,154g CO2/km (komb)*,16.949
Mazda,3,99.182 km,07/2017,Automatik,Benzin,88 kW (120 PS),6l/100km,129g CO2/km (komb)*,16.049
Peugeot,2008,76.850 km,05/2017,Manuell,Diesel,73 kW (99 PS),5l/100km,90g CO2/km (komb)*,11.549
Skoda,Rapid,104.000 km,05/2017,Automatik,Benzin,92 kW (125 PS),8l/100km,114g CO2/km (komb)*,15.049
Suzuki,Vitara,41.300 km,05/2017,Manuell,Benzin,88 kW (120 PS),8l/100km,185g CO2/km (komb)*,16.549
Mazda,CX-3,55.600 km,08/2017,Manuell,Benzin,88 kW (120 PS),9l/100km,137g CO2/km (komb)*,16.749
Smart,ForTwo,49.990 km,07/2017,Automatik,Benzin,66 kW (90 PS),5l/100km,114g CO2/km (komb)*,14.049
Kia,Niro,35.434 km,05/2017,Automatik,Hybrid (Elektro / Benzin),104 kW (141 PS),4l/100km,101g CO2/km (komb)*,21.249
Mazda,CX-3,96.300 km,06/2017,Automatik,Benzin,110 kW (150 PS),8l/100km,146g CO2/km (komb)*,19.349
Fiat,Tipo,84.895 km,07/2017,Manuell,Diesel,88 kW (120 PS),7l/100km,98g CO2/km (komb)*,12.949
Skoda,Fabia,31.700 km,07/2017,Manuell,Benzin,55 kW (75 PS),8l/100km,109g CO2/km (komb)*,12.249
Volkswagen,Golf,85.000 km,09/2017,Manuell,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,19.649
Ford,Galaxy,99.400 km,03/2017,Manuell,Benzin,118 kW (160 PS),5l/100km,149g CO2/km (komb)*,20.749
Volvo,XC60,92.800 km,06/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,119g CO2/km (komb)*,23.349
Alfa,Romeo Giulia,89.999 km,09/2017,Automatik,Benzin,147 kW (200 PS),9l/100km,194g CO2/km (komb)*,28.649
Volkswagen,Golf,83.650 km,07/2017,Manuell,Benzin,81 kW (110 PS),8l/100km,109g CO2/km (komb)*,13.949
Volkswagen,Golf Sportsvan,64.380 km,05/2017,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,20.149
Skoda,Kodiaq,125.000 km,05/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,25.349
Ford,Transit Custom,123.000 km,11/2017,Manuell,Diesel,96 kW (131 PS),6l/100km,156g CO2/km (komb)*,23.349
Jaguar,F-Type,82.000 km,07/2017,Automatik,Benzin,405 kW (551 PS),8l/100km,268g CO2/km (komb)*,58.749
Audi,SQ7,137.366 km,06/2017,Automatik,Diesel,320 kW (435 PS),7l/100km,186g CO2/km (komb)*,49.949
Audi,SQ7,137.366 km,06/2017,Automatik,Diesel,320 kW (435 PS),7l/100km,186g CO2/km (komb)*,50.849
Hyundai,i30,87.550 km,10/2017,Manuell,Benzin,74 kW (101 PS),8l/100km,185g CO2/km (komb)*,13.049
Porsche,Panamera,94.400 km,07/2017,Automatik,Hybrid (Elektro / Benzin),500 kW (680 PS),9l/100km,69g CO2/km (komb)*,98.049
Honda,HR-V,110.000 km,12/2017,Manuell,Benzin,96 kW (131 PS),8l/100km,185g CO2/km (komb)*,15.049
Audi,Q2,136.670 km,08/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,25.149
Jaguar,XF,119.500 km,11/2017,Automatik,Diesel,132 kW (180 PS),8l/100km,124g CO2/km (komb)*,25.349
Mercedes-Benz,B 220,92.000 km,09/2017,Automatik,Benzin,135 kW (184 PS),8l/100km,185g CO2/km (komb)*,20.749
Jaguar,XF,86.000 km,05/2017,Automatik,Diesel,132 kW (180 PS),3l/100km,114g CO2/km (komb)*,39.749
Ford,Focus,84.200 km,10/2017,Automatik,Benzin,134 kW (182 PS),1l/100km,140g CO2/km (komb)*,15.949
Jaguar,F-Pace,62.000 km,07/2017,Automatik,Diesel,221 kW (301 PS),3l/100km,166g CO2/km (komb)*,35.449
Kia,Sportage,71.800 km,10/2017,Automatik,Benzin,130 kW (177 PS),8l/100km,185g CO2/km (komb)*,21.249
Peugeot,3008,54.362 km,08/2017,Automatik,Diesel,133 kW (180 PS),4l/100km,114g CO2/km (komb)*,24.849
Toyota,RAV 4,87.436 km,08/2017,Automatik,Hybrid (Elektro / Benzin),145 kW (197 PS),9l/100km,115g CO2/km (komb)*,23.349
Abarth,500,54.500 km,08/2017,Manuell,Benzin,118 kW (160 PS),0l/100km,0g CO2/km (WLTP,17.949
Mercedes-Benz,Citan,77.111 km,12/2017,Automatik,Benzin,84 kW (114 PS),8l/100km,185g CO2/km (komb)*,17.549
Ford,Galaxy,112.179 km,11/2017,Automatik,Diesel,110 kW (150 PS),4l/100km,134g CO2/km (komb)*,25.449
Toyota,C-HR,104.800 km,06/2017,Automatik,Benzin,85 kW (116 PS),3l/100km,143g CO2/km (komb)*,17.949
Volkswagen,Caddy,102.900 km,06/2017,Automatik,Benzin,92 kW (125 PS),7l/100km,130g CO2/km (komb)*,22.349
Mini,ONE,67.000 km,12/2017,Manuell,Benzin,75 kW (102 PS),8l/100km,185g CO2/km (komb)*,13.849
Audi,A1,62.200 km,07/2017,Manuell,Benzin,70 kW (95 PS),8l/100km,102g CO2/km (komb)*,15.749
BMW,X1,109.839 km,11/2017,Manuell,Benzin,103 kW (140 PS),3l/100km,121g CO2/km (komb)*,18.049
Ford,Galaxy,111.877 km,11/2017,Automatik,Diesel,110 kW (150 PS),4l/100km,134g CO2/km (komb)*,24.649
Honda,CR-V,78.960 km,05/2017,Manuell,Benzin,114 kW (155 PS),2l/100km,168g CO2/km (komb)*,19.149
Mazda,CX-5,66.653 km,11/2017,Automatik,Benzin,143 kW (194 PS),8l/100km,162g CO2/km (komb)*,26.449
Seat,Alhambra,73.900 km,06/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,31.849
Mazda,CX-3,86.897 km,12/2017,Manuell,Benzin,88 kW (120 PS),8l/100km,185g CO2/km (komb)*,16.949
Honda,Civic,126.524 km,07/2017,Manuell,Benzin,95 kW (129 PS),1l/100km,117g CO2/km (komb)*,16.949
Opel,Crossland X,67.380 km,11/2017,Manuell,Benzin,96 kW (131 PS),8l/100km,114g CO2/km (komb)*,14.649
Ford,Kuga,65.500 km,10/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,17.449
Ford,Focus,136.600 km,06/2017,Manuell,Diesel,136 kW (185 PS),7l/100km,110g CO2/km (komb)*,15.849
Land Rover,Range Rover Evoque,35.000 km,08/2017,Automatik,Diesel,110 kW (150 PS),0l/100km,0g CO2/km (WLTP,31.749
Seat,Leon,60.000 km,04/2017,Manuell,Benzin,85 kW (116 PS),0l/100km,0g CO2/km (WLTP,16.449
Nissan,Qashqai,74.000 km,07/2017,Manuell,Benzin,120 kW (163 PS),8l/100km,185g CO2/km (komb)*,19.849
Opel,Meriva,74.560 km,04/2017,Manuell,Benzin,88 kW (120 PS),8l/100km,185g CO2/km (komb)*,11.649
Ford,Focus,67.935 km,11/2017,Automatik,Benzin,92 kW (125 PS),5l/100km,125g CO2/km (komb)*,16.949
Seat,Leon,81.549 km,10/2017,Manuell,Benzin,110 kW (150 PS),0l/100km,0g CO2/km (WLTP,16.949
Opel,Crossland X,47.159 km,09/2017,Manuell,Benzin,81 kW (110 PS),9l/100km,109g CO2/km (komb)*,14.849
Ford,Focus,59.990 km,12/2017,Automatik,Benzin,92 kW (125 PS),8l/100km,185g CO2/km (komb)*,15.749
Land Rover,Range Rover Evoque,88.500 km,11/2017,Automatik,Diesel,132 kW (180 PS),7l/100km,186g CO2/km (komb)*,28.649
Ford,C-Max,137.000 km,05/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,139g CO2/km (komb)*,13.349
Skoda,Superb,109.600 km,10/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,21.249
Toyota,RAV 4,52.350 km,09/2017,Automatik,Hybrid (Elektro / Benzin),114 kW (155 PS),8l/100km,85g CO2/km (komb)*,22.249
Audi,A6 Allroad,95.417 km,08/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,28.549
Volkswagen,Caddy,80.000 km,12/2017,Manuell,Diesel,75 kW (102 PS),7l/100km,186g CO2/km (komb)*,17.049
Alfa,Romeo Stelvio,53.371 km,10/2017,Automatik,Benzin,206 kW (280 PS),0l/100km,0g CO2/km (WLTP,32.749
Volkswagen,Tiguan,72.850 km,11/2017,Manuell,Benzin,92 kW (125 PS),0l/100km,0g CO2/km (WLTP,20.076
Ford,Kuga,130.750 km,11/2017,Manuell,Diesel,110 kW (150 PS),7l/100km,135g CO2/km (komb)*,16.749
Renault,Megane,48.000 km,05/2017,Manuell,Benzin,74 kW (101 PS),0l/100km,0g CO2/km (WLTP,14.549
Volkswagen,Golf,90.000 km,05/2017,Manuell,Benzin,81 kW (110 PS),0l/100km,0g CO2/km (WLTP,14.449
Volkswagen,T6 Multivan,148.000 km,08/2017,Automatik,Diesel,150 kW (204 PS),7l/100km,186g CO2/km (komb)*,39.249
Peugeot,Partner Tepee,138.000 km,06/2017,Manuell,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,14.049
Mercedes-Benz,G 350,45.350 km,11/2017,Automatik,Diesel,180 kW (245 PS),7l/100km,186g CO2/km (komb)*,92.149
Kia,Soul,86.000 km,10/2017,Automatik,Elektro,81 kW (110 PS),,0g CO2/km (WLTP,14.749
Volkswagen,Touran,99.147 km,08/2017,Automatik,Diesel,85 kW (116 PS),4l/100km,114g CO2/km (komb)*,22.149
Mercedes-Benz,SONSTIGE,83.750 km,08/2017,Manuell,Benzin,90 kW (122 PS),8l/100km,185g CO2/km (komb)*,17.049
Opel,Astra,127.000 km,04/2017,Manuell,Benzin,92 kW (125 PS),9l/100km,114g CO2/km (komb)*,10.949
Opel,Insignia,124.126 km,12/2017,Manuell,Benzin,121 kW (165 PS),6l/100km,136g CO2/km (komb)*,15.049
Opel,Corsa,78.500 km,12/2017,Manuell,Benzin,152 kW (207 PS),0l/100km,0g CO2/km (WLTP,17.349
Opel,Astra,31.000 km,06/2017,Halbautomatik,Benzin,77 kW (105 PS),8l/100km,185g CO2/km (komb)*,15.249
Mercedes-Benz,C 350,105.000 km,11/2017,Automatik,Hybrid (Elektro / Benzin),155 kW (211 PS),1l/100km,49g CO2/km (komb)*,23.349
Volkswagen,Golf Sportsvan,89.694 km,05/2017,Manuell,Benzin,110 kW (150 PS),4l/100km,129g CO2/km (komb)*,14.949
Volvo,XC90,146.300 km,07/2017,Automatik,Diesel,173 kW (235 PS),7l/100km,186g CO2/km (komb)*,30.749
Renault,Megane,99.500 km,08/2017,Manuell,Benzin,74 kW (101 PS),4l/100km,120g CO2/km (komb)*,12.149
Volkswagen,Golf,56.500 km,12/2017,Manuell,Benzin,96 kW (131 PS),8l/100km,110g CO2/km (komb)*,17.649
Audi,A6,39.913 km,11/2017,Automatik,Diesel,240 kW (326 PS),4l/100km,169g CO2/km (komb)*,47.749
Audi,A6,116.212 km,05/2017,Automatik,Diesel,235 kW (320 PS),7l/100km,186g CO2/km (komb)*,28.649
Fiat,500,59.800 km,10/2017,Manuell,Benzin,51 kW (69 PS),3l/100km,99g CO2/km (komb)*,10.049
Volkswagen,Golf,79.609 km,12/2017,Manuell,Benzin,81 kW (110 PS),8l/100km,109g CO2/km (komb)*,13.949
Mercedes-Benz,AMG GT,24.350 km,09/2017,Automatik,Benzin,430 kW (585 PS),4l/100km,259g CO2/km (komb)*,141.349
Nissan,Micra,80.333 km,10/2017,Manuell,Benzin,66 kW (90 PS),1l/100km,115g CO2/km (komb)*,13.049
Skoda,Fabia,15.000 km,11/2017,Manuell,Benzin,70 kW (95 PS),8l/100km,185g CO2/km (komb)*,13.549
BMW,120,112.940 km,05/2017,Manuell,Benzin,135 kW (184 PS),8l/100km,185g CO2/km (komb)*,18.049
Ford,Ranger,87.109 km,11/2017,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,31.749
Ford,Kuga,137.000 km,11/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,14.449
Mercedes-Benz,Vito,106.376 km,07/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,50.849
Volkswagen,Polo,26.574 km,09/2017,Manuell,Benzin,44 kW (60 PS),8l/100km,108g CO2/km (komb)*,12.549
Opel,Corsa,34.100 km,09/2017,Automatik,Benzin,66 kW (90 PS),8l/100km,185g CO2/km (komb)*,13.049
Nissan,Navara,85.063 km,06/2017,Manuell,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,26.449
Renault,Megane,111.000 km,11/2017,Automatik,Benzin,97 kW (132 PS),8l/100km,185g CO2/km (komb)*,12.449
Opel,Crossland X,34.979 km,10/2017,Manuell,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,13.949
Porsche,Panamera,124.500 km,08/2017,Automatik,Benzin,340 kW (462 PS),8l/100km,185g CO2/km (komb)*,59.849
Citroen,DS3,104.000 km,06/2017,Manuell,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,8.649
Mazda,CX-3,42.580 km,07/2017,Manuell,Benzin,88 kW (120 PS),8l/100km,185g CO2/km (komb)*,17.849
Kia,Stonic,34.400 km,12/2017,Manuell,Benzin,62 kW (84 PS),8l/100km,118g CO2/km (komb)*,15.049
BMW,X5,53.100 km,12/2017,Automatik,Benzin,330 kW (449 PS),6l/100km,227g CO2/km (komb)*,49.349
Volkswagen,Golf Sportsvan,141.000 km,06/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,12.649
Mercedes-Benz,C 43 AMG,115.000 km,05/2017,Automatik,Benzin,270 kW (367 PS),8l/100km,178g CO2/km (komb)*,38.149
Ford,Focus,91.840 km,10/2017,Manuell,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,14.049
Ford,S-Max,94.300 km,11/2017,Manuell,Benzin,118 kW (160 PS),5l/100km,149g CO2/km (komb)*,21.049
Ford,Fiesta,97.000 km,11/2017,Manuell,Benzin,63 kW (86 PS),8l/100km,185g CO2/km (komb)*,13.049
Mercedes-Benz,E 250,113.911 km,10/2017,Automatik,Benzin,155 kW (211 PS),2l/100km,138g CO2/km (komb)*,28.649
Peugeot,2008,43.300 km,11/2017,Automatik,Benzin,81 kW (110 PS),8l/100km,110g CO2/km (komb)*,13.949
Volkswagen,Passat Variant,87.800 km,11/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,123g CO2/km (komb)*,20.049
Porsche,Panamera,87.150 km,06/2017,Automatik,Diesel,310 kW (422 PS),7l/100km,186g CO2/km (komb)*,79.949
Skoda,Rapid,55.200 km,11/2017,Manuell,Benzin,70 kW (95 PS),4l/100km,101g CO2/km (komb)*,13.649
Fiat,Tipo,99.500 km,05/2017,Manuell,Diesel,88 kW (120 PS),2l/100km,110g CO2/km (komb)*,11.149
Ford,Kuga,37.500 km,12/2017,Manuell,Benzin,88 kW (120 PS),3l/100km,145g CO2/km (komb)*,15.049
Mazda,MX-5,23.900 km,10/2017,Manuell,Benzin,96 kW (131 PS),8l/100km,185g CO2/km (komb)*,19.949
Ford,Galaxy,93.000 km,12/2017,Manuell,Diesel,110 kW (150 PS),5l/100km,129g CO2/km (komb)*,19.949
Kia,Sorento,115.150 km,05/2017,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,26.149
Kia,Sorento,115.150 km,05/2017,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,25.249
Nissan,Micra,44.800 km,09/2017,Manuell,Benzin,52 kW (71 PS),6l/100km,107g CO2/km (komb)*,11.549
Mercedes-Benz,E 63 AMG,106.000 km,04/2017,Automatik,Benzin,450 kW (612 PS),8l/100km,185g CO2/km (komb)*,62.949
Volkswagen,Polo,95.400 km,09/2017,Manuell,Benzin,44 kW (60 PS),8l/100km,114g CO2/km (komb)*,9.949
Volkswagen,Tiguan,83.578 km,12/2017,Automatik,Benzin,132 kW (180 PS),2l/100km,166g CO2/km (komb)*,25.449
Smart,ForTwo,71.116 km,04/2017,Manuell,Benzin,45 kW (61 PS),5l/100km,104g CO2/km (komb)*,8.949
Jeep,Grand Cherokee,130.300 km,11/2017,Automatik,Diesel,184 kW (250 PS),8l/100km,212g CO2/km (komb)*,31.849
Renault,ZOE,103.000 km,11/2017,Automatik,Elektro,68 kW (58 PS),,0g CO2/km (WLTP,9.249
Hyundai,Tucson,60.830 km,08/2017,Manuell,Benzin,97 kW (132 PS),8l/100km,185g CO2/km (komb)*,17.049
Dacia,Logan,83.000 km,12/2017,Manuell,Benzin,66 kW (90 PS),3l/100km,125g CO2/km (komb)*,12.549
Land Rover,Range Rover Evoque,108.500 km,12/2017,Automatik,Diesel,110 kW (150 PS),8l/100km,113g CO2/km (komb)*,24.349
Porsche,Panamera,124.500 km,08/2017,Automatik,Hybrid (Elektro / Benzin),340 kW (462 PS),8l/100km,85g CO2/km (komb)*,60.849
Mercedes-Benz,V 250,106.376 km,07/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,51.349
Nissan,Qashqai,74.000 km,07/2017,Manuell,Benzin,120 kW (163 PS),8l/100km,185g CO2/km (komb)*,21.149
Mercedes-Benz,E 400,133.000 km,11/2017,Automatik,Benzin,245 kW (333 PS),8l/100km,180g CO2/km (komb)*,29.149
Ford,Ranger,148.731 km,08/2017,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,30.649
Renault,ZOE,54.500 km,06/2017,Automatik,Elektro,43 kW (58 PS),,0g CO2/km (WLTP,10.149
Seat,Ibiza,77.318 km,10/2017,Manuell,Benzin,55 kW (75 PS),8l/100km,185g CO2/km (komb)*,11.749
Porsche,991,48.000 km,05/2017,Automatik,Benzin,397 kW (540 PS),8l/100km,185g CO2/km (komb)*,141.449
Ford,Transit Custom,137.000 km,12/2017,Manuell,Diesel,77 kW (105 PS),7l/100km,186g CO2/km (komb)*,21.249
Audi,Q5,93.093 km,11/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,138g CO2/km (komb)*,34.849
Citroen,C4 Cactus,81.010 km,09/2017,Manuell,Benzin,60 kW (82 PS),8l/100km,185g CO2/km (komb)*,9.849
Volkswagen,Beetle,32.003 km,06/2017,Manuell,Benzin,77 kW (105 PS),1l/100km,124g CO2/km (komb)*,18.949
Audi,A3,94.000 km,12/2017,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,21.149
Skoda,Superb,118.300 km,11/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,21.149
Peugeot,2008,28.150 km,05/2017,Automatik,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,17.049
Renault,Clio,117.135 km,08/2017,Manuell,Benzin,87 kW (118 PS),4l/100km,120g CO2/km (komb)*,11.049
Suzuki,SONSTIGE,17.700 km,04/2017,Manuell,Benzin,84 kW (114 PS),8l/100km,185g CO2/km (komb)*,8.049
BMW,X6,56.835 km,08/2017,Automatik,Diesel,280 kW (381 PS),7l/100km,186g CO2/km (komb)*,52.449
Skoda,Yeti,126.700 km,10/2017,Automatik,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,12.049
Abarth,500,133.580 km,10/2017,Manuell,Benzin,118 kW (160 PS),8l/100km,185g CO2/km (komb)*,13.349
Jeep,Renegade,44.910 km,07/2017,Manuell,Benzin,81 kW (110 PS),8l/100km,145g CO2/km (komb)*,15.449
Land Rover,Discovery Sport,98.250 km,05/2017,Automatik,Diesel,132 kW (180 PS),3l/100km,0g CO2/km (WLTP,24.349
Seat,Ibiza,124.680 km,08/2017,Manuell,Benzin,70 kW (95 PS),8l/100km,185g CO2/km (komb)*,13.449
Volkswagen,up!,113.000 km,07/2017,Manuell,Benzin,44 kW (60 PS),8l/100km,185g CO2/km (komb)*,7.749
Chevrolet,Camaro,25.112 km,08/2017,Automatik,Benzin,333 kW (453 PS),8l/100km,185g CO2/km (komb)*,54.449
Renault,ZOE,77.600 km,05/2017,Automatik,Elektro,43 kW (58 PS),,0g CO2/km (komb)*,9.849
Chevrolet,Camaro,3.103 km,06/2017,Automatik,Benzin,333 kW (453 PS),1l/100km,252g CO2/km (komb)*,63.549
Volkswagen,T6 Multivan,113.270 km,06/2017,Automatik,Diesel,150 kW (204 PS),7l/100km,186g CO2/km (komb)*,45.149
Mercedes-Benz,SONSTIGE,140.786 km,09/2017,Automatik,Diesel,105 kW (143 PS),7l/100km,186g CO2/km (komb)*,24.349
Mazda,CX-3,67.497 km,09/2017,Manuell,Benzin,88 kW (120 PS),9l/100km,137g CO2/km (komb)*,14.749
Lexus,NX 300,69.700 km,11/2017,Automatik,Hybrid (Elektro / Benzin),145 kW (197 PS),8l/100km,85g CO2/km (komb)*,30.749
Porsche,991,61.900 km,05/2017,Automatik,Benzin,331 kW (450 PS),8l/100km,185g CO2/km (komb)*,124.349
Volkswagen,Passat Variant,121.400 km,09/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,121g CO2/km (komb)*,18.049
Alfa,Romeo Stelvio,97.850 km,05/2017,Automatik,Benzin,206 kW (280 PS),7l/100km,161g CO2/km (komb)*,26.349
Mercedes-Benz,C 63 AMG,49.612 km,07/2017,Automatik,Benzin,375 kW (510 PS),8l/100km,208g CO2/km (komb)*,83.149
Opel,Vivaro,86.900 km,07/2017,Manuell,Diesel,89 kW (121 PS),7l/100km,186g CO2/km (komb)*,14.849
Opel,Zafira,88.110 km,05/2017,Automatik,Benzin,125 kW (170 PS),6l/100km,176g CO2/km (komb)*,19.149
Volkswagen,T6 California,101.807 km,08/2017,Automatik,Diesel,150 kW (204 PS),7l/100km,186g CO2/km (komb)*,48.349
Mercedes-Benz,B 200,49.000 km,11/2017,Automatik,Benzin,115 kW (156 PS),8l/100km,185g CO2/km (komb)*,26.449
Volkswagen,Golf,118.000 km,09/2017,Automatik,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,16.449
Seat,Ateca,36.000 km,11/2017,Manuell,Benzin,110 kW (150 PS),4l/100km,123g CO2/km (komb)*,25.449
Volkswagen,T6 SONSTIGE,89.500 km,12/2017,Manuell,Diesel,75 kW (102 PS),7l/100km,186g CO2/km (komb)*,23.249
Mercedes-Benz,Citan,47.152 km,07/2017,Manuell,Benzin,84 kW (114 PS),2l/100km,140g CO2/km (komb)*,16.749
Ford,Fiesta,50.690 km,05/2017,Manuell,Benzin,59 kW (80 PS),6l/100km,105g CO2/km (komb)*,11.249
Fiat,Fullback,77.300 km,06/2017,Manuell,Diesel,133 kW (181 PS),9l/100km,0g CO2/km (WLTP,21.249
Volkswagen,Touran,130.850 km,10/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,20.049
Audi,A6 allroad quattro,136.336 km,07/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,149g CO2/km (komb)*,25.449
